nem	kor	isk.vegz	lakhely	csaladi.allapot	ido.mobil.alk	gyak.facebook	gyak.messenger	gyak.instagramm	gyak.twitter	gyak.snapchat	gyak.viber	gyak.youtube	gyak.skype	gyak.spotify	gyak.bongeszo	MirehasználodleggyakrabbanamobiltelefonodTöbbválaszismegjelö	Hahasználodnyelvtanulásraamobiltelefonodmelyikalkalmazástalka	Azérthasználokmobilalkamazásokatmert......kapcsolatottudoktar	Azérthasználokmobilalkamazásokatmert......kapcsolatottudokt_A	Azérthasználokmobilalkamazásokatmert......megkönnyítikatanu	Azérthasználokmobilalkamazásokatmert......megkönnyítikakomm	Azérthasználokmobilalkamazásokatmert......kikapcsolamindennap	Azérthasználokmobilalkamazásokatmert......kiélhetemakreativi	Azérthasználokmobilalkamazásokatmert......képeketésgondolat	Azérthasználokmobilalkamazásokatmert......mertmásokishaszná	Azérthasználokmobilalkamazásokatmert......könnyenhasznosinfo	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hossz	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Rögt	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Azért	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Szoron	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hüly	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Hangul	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Kezdem	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Társa	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Halehe	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Jobban	Mennyirejellemzőekrádazalábbiüzenetváltásiszokások.Könny	végzettség	lak	állapot	Neme	Idő	gyface	gymes	gyinsta	gytwitter	gysnapchat	gyviber	gyyoutube	gyskype	gyspotify	gychrome	kapcsolatbarátok	kapcsolatpár	könnyíttanulás	könnyítkomm	kikapcsol	kreativitás	képgondolatmegosztás	másokis	információszerzés	üzenethosszúság	Tárgyilagos	Unalomellen	Szorongás	Bohóckodás	Hangulatjelek	Csoportbeszélgetéskezdés	Magánbeszélgetéstársaságban	Üzenetpreferencia	Megnyílásüzenetben	Üzenetvonzóembernek	Üzenetvshívás	Hasznössz	Telefonál	Közösségi	Szöveges	Infószerző	Fénykép	Játék	Navigáció	Nyelvtanulás
Férfi	25	Gimnázium/Szakközép iskola	Megyeszékhely	Egyedülálló	Kevesebb, mint 1 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Ritkábban	Hetente egyszer	Hetente egyszer	Naponta egyszer	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Nyelvtanulás (Duolingo, Xeropan stb.)	Duolingo	4 - inkább egyetértek	2 - inkább nem értek egyet	3 - részben egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	5 - teljes mértékben egyetértek	2 - néha jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	3 - általában jellemző	4 - gyakran jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	4	4	1	1	1	5	5	1	1	1	2	2	2	4	5	4	2	3	5	1	1	1	4	5	2	3	1	3	3	4	2	1	2	2	1	2	4	2	2	2	1	1	1	1	2
Férfi	23	Gimnázium/Szakközép iskola	Megyeszékhely	Párkapcsolatban	Több mint 4 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Ritkábban	Naponta egyszer	Naponta többször	Ritkábban	Naponta többször	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra	5percangol	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	5 - mindig jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	5 - mindig jellemző	5 - mindig jellemző	5 - mindig jellemző	5 - mindig jellemző	5 - mindig jellemző	5 - mindig jellemző	4	4	2	1	5	5	5	5	1	2	4	5	2	5	5	5	5	5	5	5	3	5	1	5	5	2	1	1	5	5	5	5	5	5	5	5	9	2	2	2	1	2	2	2	2
Férfi	24	Szakiskola/Szakmunkásképző	Falu	Egyedülálló	Kevesebb, mint 1 órát	Hetente egyszer	Hetente egyszer	Ritkábban	Soha	Soha	Soha	Ritkábban	Soha	Soha	Soha	Telefonálásra, Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	2 - inkább nem értek egyet	3 - részben egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	1 - egyáltalán nem jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	3	2	1	1	1	2	2	2	1	1	1	2	1	1	1	5	5	3	5	3	2	3	1	5	1	5	1	1	3	3	1	1	3	5	1	3	4	1	1	1	2	2	1	2	1
Férfi	27	Gimnázium/Szakközép iskola	Város	Egyedülálló	3-4 órát	Naponta többször	Naponta többször	Ritkábban	Ritkábban	Hetente egyszer	Soha	Naponta többször	Naponta egyszer	Naponta többször	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Navigáció (GPS, Google Maps stb.)		5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	3 - részben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	3 - részben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem jellemző	5 - mindig jellemző	2 - néha jellemző	5 - mindig jellemző	3 - általában jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	2 - néha jellemző	3 - általában jellemző	4	3	1	1	3	5	5	2	2	2	1	5	4	5	5	5	1	3	5	5	2	3	5	5	1	5	2	5	3	2	1	1	4	2	3	4	3	1	2	2	1	1	1	2	1
Férfi	20	Gimnázium/Szakközép iskola	Megyeszékhely	Egyedülálló	1-2 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Naponta többször	Naponta egyszer	Soha	Soha	Ritkábban	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Telefonos játékokra, Fényképezésre		4 - inkább egyetértek	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	1 - egyáltalán nem jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4	4	1	1	2	5	5	1	1	1	5	4	1	1	2	4	1	4	5	5	1	1	1	3	1	4	1	1	1	1	1	1	1	1	1	1	5	2	2	2	1	2	2	1	1
Férfi	19	Gimnázium/Szakközép iskola	Város	Párkapcsolatban	Több mint 4 órát	Naponta többször	Naponta többször	Naponta többször	Ritkábban	Naponta egyszer	Soha	Naponta többször	Soha	Naponta többször	Naponta egyszer	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Navigáció (GPS, Google Maps stb.)	5percangol	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	4 - inkább egyetértek	2 - inkább nem értek egyet	2 - inkább nem értek egyet	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	2 - néha jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	4 - gyakran jellemző	4 - gyakran jellemző	3 - általában jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	4	3	2	1	5	5	5	5	2	4	1	5	1	5	4	5	5	4	4	2	2	4	1	5	2	3	1	1	4	4	4	3	3	1	3	3	4	1	2	2	2	1	1	1	1
Férfi	28	Főiskola/Egyetem	Megyeszékhely	Párkapcsolatban	2-3 órát	Naponta többször	Naponta többször	Naponta egyszer	Soha	Soha	Soha	Naponta többször	Ritkábban	Naponta többször	Naponta egyszer	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	4 - inkább egyetértek	3 - részben egyetértek	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	4 - inkább egyetértek	4 - inkább egyetértek	2 - néha jellemző	5 - mindig jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	4 - gyakran jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	5	4	2	1	3	5	5	4	1	1	1	5	2	5	4	5	5	4	4	3	1	4	4	4	2	5	2	1	5	4	4	1	4	1	1	4	4	2	2	2	1	1	1	1	1
Férfi	30	Főiskola/Egyetem	Megyeszékhely	Egyedülálló	Kevesebb, mint 1 órát	Hetente többször	Naponta többször	Naponta többször	Ritkábban	Soha	Soha	Hetente többször	Soha	Hetente többször	Hetente többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Navigáció (GPS, Google Maps stb.)		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	3 - részben egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	4 - inkább egyetértek	3 - részben egyetértek	1 - egyáltalán nem jellemző	3 - általában jellemző	2 - néha jellemző	4 - gyakran jellemző	5 - mindig jellemző	5 - mindig jellemző	2 - néha jellemző	2 - néha jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	5	4	1	1	1	3	5	5	2	1	1	3	1	3	3	5	5	2	3	2	1	4	4	3	1	3	2	4	5	5	2	2	2	1	2	2	4	2	2	2	1	1	1	2	1
Férfi	20	Gimnázium/Szakközép iskola	Város	Egyedülálló	Több mint 4 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Naponta többször	Soha	Naponta többször	Soha	Naponta többször	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)		5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	2 - inkább nem értek egyet	5 - teljes mértékben egyetértek	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	4 - inkább egyetértek	3 - általában jellemző	4 - gyakran jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	5 - mindig jellemző	4 - gyakran jellemző	2 - néha jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	4	3	1	1	5	5	5	5	1	5	1	5	1	5	5	5	1	2	5	4	1	1	3	4	3	4	2	1	5	5	4	2	5	1	4	5	3	1	2	2	2	1	1	1	1
Férfi	21	Gimnázium/Szakközép iskola	Falu	Egyedülálló	1-2 órát	Naponta többször	Naponta többször	Naponta többször	Ritkábban	Naponta többször	Hetente többször	Naponta többször	Ritkábban	Ritkábban	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)		4 - inkább egyetértek	2 - inkább nem értek egyet	4 - inkább egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	5 - teljes mértékben egyetértek	3 - általában jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	4 - gyakran jellemző	5 - mindig jellemző	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	4	2	1	1	2	5	5	5	2	5	3	5	2	2	5	4	2	4	5	2	1	1	3	5	3	3	1	3	4	5	2	3	2	1	2	2	6	2	2	2	1	2	1	2	1
Férfi	21	Gimnázium/Szakközép iskola	Főváros	Egyedülálló	2-3 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Naponta többször	Naponta többször	Naponta többször	Soha	Naponta többször	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)	Duolingo	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	2 - inkább nem értek egyet	5 - teljes mértékben egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	4 - gyakran jellemző	4 - gyakran jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	4 - gyakran jellemző	2 - néha jellemző	3 - általában jellemző	4 - gyakran jellemző	4 - gyakran jellemző	5 - mindig jellemző	4	5	1	1	3	5	5	5	1	5	5	5	1	5	5	5	1	5	5	2	2	5	4	5	4	4	5	1	4	4	2	3	4	4	5	4	3	1	2	2	2	1	1	1	1
Férfi	25	Gimnázium/Szakközép iskola	Falu	Párkapcsolatban	1-2 órát	Naponta többször	Naponta többször	Naponta egyszer	Naponta egyszer	Soha	Soha	Naponta többször	Hetente többször	Hetente többször	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	3 - általában jellemző	2 - néha jellemző	2 - néha jellemző	2 - néha jellemző	5 - mindig jellemző	5 - mindig jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	2 - néha jellemző	5 - mindig jellemző	4	2	2	1	2	5	5	4	4	1	1	5	3	3	5	5	5	5	5	5	5	5	4	5	3	2	2	2	5	5	2	1	2	2	5	2	6	2	2	2	1	2	1	2	1
Férfi	20	Főiskola/Egyetem	Megyeszékhely	Egyedülálló	1-2 órát	Naponta többször	Naponta többször	Soha	Soha	Naponta többször	Ritkábban	Naponta egyszer	Ritkábban	Naponta többször	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)	Duolingo	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	4 - inkább egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	4 - gyakran jellemző	5 - mindig jellemző	2 - néha jellemző	2 - néha jellemző	4 - gyakran jellemző	4 - gyakran jellemző	3 - általában jellemző	3 - általában jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	5	4	1	1	2	5	5	1	1	5	2	4	2	5	5	4	1	5	4	2	1	4	1	5	4	5	2	2	4	4	3	3	3	1	5	3	4	2	2	2	1	1	1	1	1
Nő	20	Gimnázium/Szakközép iskola	Város	Egyedülálló	2-3 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Ritkábban	Hetente többször	Hetente többször	Soha	Soha	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	2 - inkább nem értek egyet	4 - inkább egyetértek	2 - inkább nem értek egyet	4 - inkább egyetértek	3 - általában jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	3 - általában jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	4 - gyakran jellemző	2 - néha jellemző	3 - általában jellemző	4	3	1	2	3	5	5	5	1	2	3	3	1	1	5	5	5	3	5	2	2	4	2	4	3	2	1	4	3	4	1	2	4	2	3	4	5	2	2	2	1	2	1	1	1
Nő	22	Gimnázium/Szakközép iskola	Megyeszékhely	Egyedülálló	Több mint 4 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Soha	Ritkábban	Naponta egyszer	Ritkábban	Naponta többször	Naponta többször	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.)		5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	3 - részben egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	2 - néha jellemző	3 - általában jellemző	4 - gyakran jellemző	2 - néha jellemző	4 - gyakran jellemző	5 - mindig jellemző	4 - gyakran jellemző	3 - általában jellemző	5 - mindig jellemző	5 - mindig jellemző	3 - általában jellemző	4	4	1	2	5	5	5	5	1	1	2	4	2	5	5	5	1	5	5	5	3	3	4	5	2	3	4	2	4	5	4	3	5	5	3	5	3	1	2	2	2	1	1	1	1
Nő	20	Gimnázium/Szakközép iskola	Város	Párkapcsolatban	Több mint 4 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Soha	Soha	Hetente többször	Soha	Soha	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	5 - mindig jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	5 - mindig jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	4	3	2	2	5	5	5	5	1	1	1	3	1	1	5	5	5	5	5	4	1	5	1	5	5	3	1	1	5	5	1	1	1	1	2	1	6	2	2	2	1	2	1	2	1
Nő	19	Gimnázium/Szakközép iskola	Megyeszékhely	Egyedülálló	1-2 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Hetente többször	Ritkábban	Hetente többször	Ritkábban	Soha	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)	Duolingo	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	2 - inkább nem értek egyet	4 - inkább egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	2 - néha jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	4 - gyakran jellemző	5 - mindig jellemző	2 - néha jellemző	2 - néha jellemző	2 - néha jellemző	4 - gyakran jellemző	3 - általában jellemző	4	4	1	2	2	5	5	5	1	3	2	3	2	1	5	5	5	5	5	2	2	4	3	5	2	3	1	4	4	5	2	2	2	4	3	2	6	2	2	2	1	2	1	2	1
Nő	22	Gimnázium/Szakközép iskola	Főváros	Párkapcsolatban	1-2 órát	Naponta többször	Naponta többször	Naponta egyszer	Soha	Soha	Soha	Hetente többször	Soha	Naponta többször	Soha	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Fényképezésre	Duolingo	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	1 - egyáltalán nem értek egyet	3 - részben egyetértek	2 - néha jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	5 - mindig jellemző	2 - néha jellemző	4 - gyakran jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4	5	2	2	2	5	5	4	1	1	1	3	1	5	1	5	5	3	2	1	1	3	1	3	2	3	1	1	3	5	2	4	5	1	1	5	4	2	2	2	1	2	1	1	1
Nő	21	Gimnázium/Szakközép iskola	Megyeszékhely	Párkapcsolatban	2-3 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Soha	Ritkábban	Naponta többször	Hetente egyszer	Naponta többször	Naponta többször	Telefonálás	Duolingo	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	3 - részben egyetértek	4 - inkább egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	2 - néha jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	3 - általában jellemző	4 - gyakran jellemző	3 - általában jellemző	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	4	4	2	2	3	5	5	5	1	1	2	5	2	5	5	5	5	5	5	4	3	4	3	5	2	5	1	2	3	4	3	2	3	2	1	3	7	2	2	2	2	2	1	2	2
Nő	23	Főiskola/Egyetem	Főváros	Egyedülálló	Több mint 4 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Soha	Soha	Naponta többször	Ritkábban	Ritkábban	Soha	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre, Navigáció (GPS, Google Maps stb.)		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	1 - egyáltalán nem értek egyet	5 - teljes mértékben egyetértek	1 - egyáltalán nem jellemző	5 - mindig jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	3 - általában jellemző	5 - mindig jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	2 - néha jellemző	5	5	1	2	5	5	5	5	1	1	1	5	2	2	1	5	5	3	5	1	1	4	1	5	1	5	1	1	3	5	2	1	1	2	2	1	6	2	2	2	2	2	1	2	1
Nő	22	Főiskola/Egyetem	Falu	Párkapcsolatban	Több mint 4 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Soha	Soha	Naponta többször	Soha	Soha	Soha	Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre	Memrise	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	3 - részben egyetértek	2 - inkább nem értek egyet	4 - inkább egyetértek	4 - inkább egyetértek	5 - teljes mértékben egyetértek	2 - néha jellemző	4 - gyakran jellemző	4 - gyakran jellemző	2 - néha jellemző	4 - gyakran jellemző	5 - mindig jellemző	4 - gyakran jellemző	2 - néha jellemző	5 - mindig jellemző	3 - általában jellemző	2 - néha jellemző	5	2	2	2	5	5	5	5	1	1	1	5	1	1	1	5	5	5	5	3	2	4	4	5	2	4	4	2	4	5	4	2	5	3	2	5	4	1	2	2	2	2	1	1	1
Nő	19	Gimnázium/Szakközép iskola	Város	Egyedülálló	2-3 órát	Naponta többször	Naponta többször	Naponta többször	Soha	Hetente többször	Soha	Naponta egyszer	Soha	Naponta többször	Naponta többször	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.)		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	4 - inkább egyetértek	4 - inkább egyetértek	2 - inkább nem értek egyet	2 - inkább nem értek egyet	4 - inkább egyetértek	3 - részben egyetértek	5 - teljes mértékben egyetértek	2 - néha jellemző	4 - gyakran jellemző	2 - néha jellemző	2 - néha jellemző	4 - gyakran jellemző	4 - gyakran jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4	3	1	2	3	5	5	5	1	3	1	4	1	5	5	5	5	4	4	2	2	4	3	5	2	4	2	2	4	4	2	1	2	1	1	2	3	2	2	2	1	1	1	1	1
Nő	21	Gimnázium/Szakközép iskola	Falu	Egyedülálló	3-4 órát	Naponta többször	Naponta többször	Soha	Soha	Soha	Soha	Naponta többször	Soha	Soha	Soha	Telefonálásra, Szöveges kapcsolattartásra (SMS, Messenger, Skype stb.), Közösségi média használata (Facebook, Instagram stb.), Információszerzésre (Böngésző, Google, Shazam stb.), Fényképezésre		5 - teljes mértékben egyetértek	5 - teljes mértékben egyetértek	2 - inkább nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	1 - egyáltalán nem értek egyet	3 - részben egyetértek	1 - egyáltalán nem értek egyet	4 - inkább egyetértek	2 - néha jellemző	3 - általában jellemző	2 - néha jellemző	1 - egyáltalán nem jellemző	4 - gyakran jellemző	4 - gyakran jellemző	1 - egyáltalán nem jellemző	2 - néha jellemző	3 - általában jellemző	1 - egyáltalán nem jellemző	1 - egyáltalán nem jellemző	4	2	1	2	3	5	5	1	1	1	1	5	1	1	1	5	5	2	1	1	1	3	1	4	2	3	2	1	4	4	1	2	3	1	1	3	5	2	2	2	2	2	1	1	1
